id,rn,enc_col_0,enc_col_1,enc_col_2,enc_col_3,enc_col_4,enc_col_5,enc_col_6,enc_col_7,enc_col_8,enc_col_9,enc_col_10,enc_col_11,enc_col_12,enc_col_13,enc_col_14,enc_col_15,enc_col_16,enc_col_17,enc_col_18,enc_col_19,enc_col_20,enc_col_21,enc_col_22,enc_col_23,enc_col_24,enc_col_25,enc_col_26,enc_col_27,enc_col_28,enc_col_29,enc_col_30,enc_col_31,enc_col_32,enc_col_33,enc_col_34,enc_col_35,enc_col_36,enc_col_37,enc_col_38,enc_col_39,enc_col_40,enc_col_41,enc_col_42,enc_col_43,enc_col_44,enc_col_45,enc_col_46,enc_col_47,enc_col_48,enc_col_49,enc_col_50,enc_col_51,enc_col_52,enc_col_53,enc_col_54,enc_col_55,enc_col_56
0,1,1,4,1,6,1,0,1,3,1,4,3,10,0,3,1,1,3,16,0,3,3,3,3,3,3,8,1,2,11,0,3,1,3,17,3,4,4,2,1,3,2,4,3,3,3,2,16,3,3,3,2,3,3,0,5,3,11
0,2,1,4,1,6,1,0,1,0,1,4,0,12,0,0,1,1,0,16,0,0,0,0,0,0,0,8,1,2,11,0,3,1,3,17,0,4,1,9,1,0,2,1,0,0,0,2,16,0,0,0,14,14,0,0,5,0,0
0,3,1,3,1,6,1,0,1,0,1,4,0,11,1,0,1,1,0,16,0,0,0,0,0,0,0,8,0,2,8,1,5,1,2,17,0,4,1,12,1,0,0,1,0,0,0,2,15,0,0,0,4,8,0,0,5,0,11
0,4,1,1,1,6,1,0,1,0,1,4,3,7,0,0,1,0,3,16,0,0,3,3,3,3,3,8,1,2,4,0,3,1,3,17,3,4,1,16,1,0,6,4,0,3,3,2,16,0,0,3,9,12,0,1,5,0,12
0,5,1,4,1,6,1,0,1,3,1,4,3,12,0,3,1,1,3,16,0,0,3,3,3,3,3,8,1,2,4,0,3,1,3,17,3,4,4,1,1,0,4,4,3,3,3,2,16,0,3,3,15,2,0,0,5,0,10
0,6,0,3,0,6,1,0,1,0,1,4,0,11,1,0,1,1,0,16,0,0,3,3,0,0,3,8,0,2,4,0,3,1,2,4,3,4,1,10,1,0,0,4,0,0,0,5,9,0,0,0,11,8,0,0,5,0,4
0,7,1,4,1,6,1,0,1,3,1,4,3,14,0,0,1,1,3,16,0,0,3,3,3,3,3,8,1,2,3,0,3,1,3,17,3,4,4,8,1,0,2,4,3,3,3,2,16,0,3,3,1,2,0,0,5,0,15
0,8,1,4,1,6,1,0,1,3,1,4,3,14,0,3,1,1,3,16,0,3,3,3,3,3,3,8,1,2,13,0,3,1,3,17,3,4,4,1,1,3,2,4,3,3,3,2,16,3,3,3,2,3,3,0,5,3,15
0,9,1,4,1,6,1,0,1,0,1,4,3,8,0,0,1,1,3,16,0,0,3,3,3,3,3,8,0,2,11,0,1,1,2,17,3,4,1,11,1,0,5,4,0,0,0,2,1,0,0,3,11,13,0,0,5,0,2
0,10,1,4,1,6,1,0,1,3,1,4,3,8,0,3,1,1,3,16,0,0,3,3,3,3,3,8,0,2,11,0,2,1,2,17,3,4,4,11,1,0,6,4,3,3,3,2,15,3,3,3,2,10,0,0,5,0,16
